0,Conjuration,1 Action,,No,No,"                                 Sorcerer

                                                                Wizard

                                                            ",Players Handbook

2,Abjuration,1 Action,,No,No,"                                 Cleric

                                                                Paladin

                                                            ",Players Handbook

1,Abjuration,1 Minute,,Yes,No,"                                 Ranger

                                                                Wizard

                                                            ",Players Handbook

2,Transmutation,1 Action,,No,Yes,"                                 Sorcerer

                                                                Wizard

                                                            ",Players Handbook

1,Enchantment,1 Action,,No,No,"                                 Bard

                                                                Druid

                                                                Ranger

                                                            ",Players Handbook

2,Enchantment,1 Action,,Yes,No,"                                 Bard

                                                                Druid

                                                                Ranger

                                                            ",Players Handbook

8,Transmutation,1 Action,,No,Yes,"                                 Druid

                                                            ",Players Handbook

3,Necromancy,1 Minute,,No,No,"                                 Cleric

                                                                Wizard

                                                            ",Players Handbook

5,Transmutation,1 Action,,No,Yes,"                                 Bard

                                                                Sorcerer

                                                                Wizard

                                                            ",Players Handbook

5,Abjuration,1 Action,,No,Yes,"                                 Druid

                                                            ",Players Handbook

8,Abjuration,1 Action,,No,Yes,"                                 Cleric

                                                                Wizard

                                                            ",Players Handbook

8,Enchantment,1 Hour,,No,No,"                                 Druid

                                                                Wizard

                                                            ",Players Handbook

4,Divination,1 Action,,No,Yes,"                                 Wizard

                                                            ",Players Handbook

6,Conjuration,1 Action,,No,Yes,"                                 Sorcerer

                                                                Warlock

                                                                Wizard

                                                            ",Players Handbook

2,Abjuration,1 Action,,No,No,"                                 Wizard

                                                            ",Players Handbook

1,Abjuration,1 Action,,No,No,"                                 Warlock

                                                            ",Players Handbook

1,Conjuration,1 Action,,No,No,"                                 Warlock

                                                            ",Players Handbook

9,Necromancy,1 Hour,,No,No,"                                 Cleric

                                                                Warlock

                                                                Wizard

                                                            ",Players Handbook

2,Divination,1 Minute,,Yes,No,"                                 Cleric

                                                            ",Players Handbook

4,Abjuration,1 Action,,No,Yes,"                                 Paladin

                                                            ",Players Handbook

4,Abjuration,1 Action,,No,Yes,"                                 Paladin

                                                            ",Players Handbook

3,Evocation,1 Action,,No,Yes,"                                 Paladin

                                                            ",Players Handbook

5,Transmutation,8 Hours,,No,No,"                                 Bard

                                                                Druid

                                                            ",Players Handbook

1,Enchantment,1 Action,,No,Yes,"                                 Bard

                                                                Cleric

                                                            ",Players Handbook

5,Abjuration,1 Bonus Action,,No,Yes,"                                 Paladin

                                                            ",Players Handbook

4,Abjuration,1 Action,,No,Yes,"                                 Cleric

                                                                Paladin

                                                                Sorcerer

                                                                Warlock

                                                                Wizard

                                                            ",Players Handbook

2,Transmutation,1 Action,,No,Yes,"                                 Druid

                                                                Ranger

                                                            ",Players Handbook

3,Abjuration,1 Action,,No,Yes,"                                 Cleric

                                                            ",Players Handbook

2,Divination,1 Action,,Yes,Yes,"                                 Druid

                                                                Ranger

                                                            ",Players Handbook

3,Necromancy,1 Action,,No,Yes,"                                 Bard

                                                                Cleric

                                                                Wizard

                                                            ",Players Handbook

5,Evocation,1 Action,,No,Yes,"                                 Wizard

                                                            ",Players Handbook

6,Evocation,1 Action,,No,Yes,"                                 Cleric

                                                            ",Players Handbook

0,Abjuration,1 Action,,No,No,"                                 Bard

                                                                Sorcerer

                                                                Warlock

                                                                Wizard

                                                            ",Players Handbook

1,Enchantment,1 Action,,No,Yes,"                                 Cleric

                                                                Paladin

                                                            ",Players Handbook

4,Necromancy,1 Action,,No,No,"                                 Druid

                                                                Sorcerer

                                                                Warlock

                                                                Wizard

                                                            ",Players Handbook

3,Evocation,1 Bonus Action,,No,Yes,"                                 Paladin

                                                            ",Players Handbook

2,Necromancy,1 Action,,No,No,"                                 Bard

                                                                Cleric

                                                                Sorcerer

                                                                Wizard

                                                            ",Players Handbook

3,Transmutation,1 Action,,No,No,"                                 Sorcerer

                                                                Wizard

                                                            ",Players Handbook

2,Illusion,1 Action,,No,Yes,"                                 Sorcerer

                                                                Wizard

                                                            ",Players Handbook

2,Evocation,1 Bonus Action,,No,Yes,"                                 Paladin

                                                            ",Players Handbook

1,Evocation,1 Action,,No,No,"                                 Sorcerer

                                                                Wizard

                                                            ",Players Handbook

3,Conjuration,1 Action,,No,Yes,"                                 Druid

                                                            ",Players Handbook

2,Enchantment,1 Action,,No,Yes,"                                 Bard

                                                                Cleric

                                                            ",Players Handbook

6,Evocation,1 Action,,No,No,"                                 Sorcerer

                                                                Wizard

                                                            ",Players Handbook

1,Enchantment,1 Action,,No,No,"                                 Bard

                                                                Druid

                                                                Sorcerer

                                                                Warlock

                                                                Wizard

                                                            ",Players Handbook

0,Necromancy,1 Action,,No,No,"                                 Sorcerer

                                                                Warlock

                                                                Wizard

                                                            ",Players Handbook

1,Evocation,1 Action,,No,No,"                                 Sorcerer

                                                                Wizard

                                                            ",Players Handbook

6,Necromancy,1 Action,,No,No,"                                 Sorcerer

                                                                Warlock

                                                                Wizard

                                                            ",Players Handbook

5,Abjuration,1 Action,,No,Yes,"                                 Paladin

                                                            ",Players Handbook

3,Divination,10 Minutes,,No,Yes,"                                 Bard

                                                                Cleric

                                                                Sorcerer

                                                                Wizard

                                                            ",Players Handbook

8,Necromancy,1 Hour,,No,No,"                                 Wizard

                                                            ",Players Handbook

2,Conjuration,1 Action,,No,Yes,"                                 Bard

                                                                Sorcerer

                                                                Warlock

                                                                Wizard

                                                            ",Players Handbook

5,Conjuration,1 Action,,No,Yes,"                                 Sorcerer

                                                                Wizard

                                                            ",Players Handbook

1,Illusion,1 Action,,No,No,"                                 Sorcerer

                                                                Wizard

                                                            ",Players Handbook

